0.005,498.5
0.01,501.4
0.015,469.6
0.02,451.7
0.025,437.3
0.03,458.3
0.035,444.4
0.04,397.7
0.045,436.1
0.05,413.3
0.055,446.8
0.06,452.2
0.065,403.6
0.07,399.8
0.075,373.3
0.08,386.0
0.085,397.8
0.09,395.1
0.095,456.0
0.1,393.2
0.105,413.6
0.11,418.0
0.115,390.7
0.12,393.2
0.125,422.2
0.13,406.9
0.135,418.1
0.14,444.0
0.145,435.0
0.15,402.7
0.155,406.2
0.16,405.9
0.165,411.5
0.17,411.0
0.175,420.5
0.18,539.9
0.185,433.5
0.19,409.8
0.195,525.7
0.2,497.3
0.205,447.1
0.21,439.5
0.215,508.9
0.22,431.7
0.225,443.2
0.23,440.2
0.235,598.8
0.24,508.7
0.245,466.7
0.25,444.8
